Wall time,Step,Value
1555712950.9636824,4470000,900.0
1555712987.1916523,4476000,884.0
1555713011.945445,4480000,896.0
1555713030.9115746,4483000,888.0
1555713081.3402548,4491000,867.0
1555713092.7912533,4493000,908.0
1555713196.5122428,4510000,883.0
1555713203.9170444,4511000,903.0
1555713320.10765,4530000,930.0
1555713327.5071871,4531000,901.0
1555713344.7178025,4534000,901.0
1555713389.498082,4541000,926.0
1555713401.0375204,4543000,924.0
1555713450.6047294,4551000,913.0
1555713462.1028395,4553000,908.0
1555713467.8535025,4554000,888.0
1555713547.142074,4567000,938.0
1555713558.6692524,4569000,921.0
1555713620.5173223,4579000,906.0
1555713641.2103145,4582000,858.0
1555713708.2337728,4593000,923.0
1555713726.8362036,4596000,919.0
1555713738.4269621,4598000,884.0
1555713751.7747438,4600000,904.0
1555713827.1300545,4612000,906.0
1555713928.2645853,4629000,907.0
1555714022.6762722,4644000,937.0
1555714060.2614255,4650000,936.0
1555714102.3918455,4657000,913.0
1555714152.1058226,4665000,866.0
1555714176.3353276,4669000,930.0
1555714220.421485,4676000,929.0
1555714226.2005546,4677000,909.0
1555714231.981528,4678000,921.0
1555714294.6462138,4688000,873.0
1555714424.547684,4709000,918.0
1555714457.27219,4714000,908.0
1555714487.6004066,4719000,937.0
1555714526.016127,4725000,917.0
1555714587.5233393,4735000,915.0
1555714619.3988636,4740000,920.0
1555714656.0485058,4746000,954.0
1555714681.1369767,4750000,951.0
1555714688.7159176,4751000,929.0
1555714736.059823,4759000,913.0
1555714757.116793,4762000,938.0
1555714762.917027,4763000,934.0
1555714774.4622931,4765000,891.0
1555714792.9298644,4768000,915.0
1555714798.7281096,4769000,926.0
1555714806.3512206,4770000,909.0
1555714848.685422,4777000,911.0
1555714867.91361,4780000,946.0
1555714875.5459557,4781000,929.0
1555714881.3641877,4782000,931.0
1555714887.154483,4783000,903.0
1555714898.7195783,4785000,912.0
1555714917.2321022,4788000,874.0
1555714923.0119429,4789000,919.0
1555714961.5126812,4795000,797.0
1555714999.9889412,4801000,904.0
1555715011.6080456,4803000,946.0
1555715029.0256317,4806000,923.0
1555715154.4411988,4826000,909.0
1555715166.0325084,4828000,942.0
1555715205.7721896,4834000,891.0
1555715250.2683914,4841000,920.0
1555715324.6800778,4853000,913.0
1555715443.89379,4872000,920.0
1555715455.4424205,4874000,887.0
1555715555.1816545,4890000,917.0
1555715574.465924,4893000,915.0
1555715585.991746,4895000,923.0
1555715591.777143,4896000,937.0
1555715711.0276494,4915000,934.0
1555715861.1281178,4939000,955.0
1555715882.5759583,4942000,923.0
1555715963.5083408,4955000,960.0
1555716014.005905,4963000,964.0
1555716064.5406632,4971000,954.0
1555716071.49489,4972000,937.0
1555716088.8999562,4975000,959.0
1555716100.5121424,4977000,961.0
1555716106.319081,4978000,958.0
1555716196.8244553,4992000,922.0
1555716245.5230422,5000000,948.0
1555716384.3159463,5022000,914.0
1555716420.2520502,5028000,959.0
1555716441.7465029,5031000,955.0
1555716482.248697,5038000,933.0
1555716567.0270755,5051000,931.0
1555716578.6152325,5053000,953.0
1555716584.3833833,5054000,942.0
1555716630.1975896,5061000,951.0
1555716740.352016,5079000,952.0
1555716842.7112715,5095000,952.0
1555716887.5076454,5102000,913.0
1555716917.714566,5107000,948.0
1555716923.5098014,5108000,950.0
1555716962.5669198,5114000,962.0
1555717043.399991,5127000,929.0
1555717054.9764044,5129000,958.0
1555717094.0692086,5135000,932.0
1555717111.4870682,5138000,941.0
1555717261.584613,5161000,957.0
1555717290.7812824,5166000,929.0
1555717372.3558946,5179000,957.0
1555717400.1419876,5183000,957.0
1555717515.390862,5201000,922.0
1555717563.0982044,5209000,961.0
1555717590.9061975,5213000,956.0
1555717712.1915786,5232000,941.0
1555717729.779762,5235000,933.0
1555717735.6731408,5236000,970.0
1555717748.5364072,5238000,946.0
1555717762.4483564,5240000,975.0
